lat_bin_center,lon_bin_center,fishing_days,fishing_hours,fishing_kwh
-43.625,-63.625,3,20.214861111111112,20524.49764770395
-56.375,-67.125,5,13.299999999999997,74038.74139339878
-40.875,-55.875,1,11.468749999999998,14015.16653882156
-43.875,-60.125,5,75.51694444444445,83665.04808668251
-42.625,-58.625,2,9.907638888888892,11235.899448134394
-38.625,-57.375,1,1.8054166666666664,2862.8877661296206
-44.625,-61.875,2,24.557361111111106,27849.62625811995
-49.875,-66.375,2,3.364861111111111,2204.2033280884148
-49.375,-66.625,1,1.5919444444444446,1042.8273639554807
-44.375,-63.375,10,31.095277777777742,51908.1033439114
-53.125,-64.375,25,125.67347222222229,319383.6501119345
-44.375,-63.125,4,11.959027777777775,8232.75044703728
-54.875,-65.375,36,54.492638888888905,195071.88577539544
-54.125,-62.125,3,2.0423611111111106,7525.400030298889
-44.125,-62.125,2,16.905555555555555,18578.94707366844
-44.625,-62.375,1,3.204166666666667,3521.330175727333
-53.125,-62.625,1,0.7870833333333332,1289.0380127826961
-55.125,-60.125,1,5.872638888888889,7176.546009821278
-42.125,-60.625,1,5.801805555555555,9200.04697703921
-44.625,-65.125,2,1.7934722222222221,1393.0575002106202
-43.625,-63.875,7,55.3854166666667,52526.904814396985
-48.375,-63.625,1,2.4148611111111107,6195.225969301179
-42.875,-63.375,1,1.036388888888889,1600.0877467079556
-45.625,-65.125,4,7.793055555555555,11194.705848288537
-41.875,-58.375,1,0.8049999999999999,836.4958080489499
-34.625,-57.875,3,47.04499999999999,20520.698164929006
-46.125,-61.625,4,55.34972222222223,65605.766912559
-42.875,-59.375,8,36.78138888888888,52516.670274624295
-41.375,-58.125,3,7.194444444444445,11160.06255397972
-40.875,-59.375,1,1.5309722222222224,2225.4723934990166
-38.125,-55.875,3,17.09263888888889,20701.181837455166
-38.625,-57.375,4,11.933055555555557,15011.83591070996
-42.375,-59.625,32,152.6797222222222,235188.46725369763
-47.625,-65.375,4,4.401527777777779,7379.552721262702
-42.375,-61.875,5,153.43180555555554,272300.2077377634
-45.125,-63.125,44,1336.899305555556,2129349.111190234
-47.375,-65.375,3,2.170694444444444,2933.4028598322557
-46.125,-64.125,12,94.20819444444443,107910.79129745529
-41.375,-62.125,25,1254.0320833333337,2161864.966400556
-40.875,-59.625,37,405.43833333333356,375014.20397708815
-46.125,-63.875,20,137.0956944444444,233728.0169965828
-42.875,-62.375,4,8.14263888888889,15752.11817641815
-43.125,-64.625,3,4.167916666666667,2089.8981018633817
-39.125,-58.625,2,1.8065277777777775,1832.4082632351333
-39.875,-56.875,9,31.996944444444445,27423.589812139893
-38.375,-56.625,6,18.97888888888889,20934.54984441975
-37.625,-55.875,3,10.410833333333333,6596.604994607941
-36.625,-55.375,16,90.55805555555557,55025.323684663854
-46.625,-60.875,1,2.6,3926.656609876
-43.875,-63.625,16,59.27499999999999,64493.23424078439
-38.875,-57.625,3,3.68875,3265.2520566988937
-41.875,-59.375,2,5.281388888888889,10450.6855123412
-45.125,-61.375,58,281.57958333333335,343012.96102730604
-39.375,-61.625,7,67.45347222222222,37351.29174619393
-46.375,-61.125,12,94.3929166666667,114410.46305279796
-47.625,-61.875,9,49.1998611111111,60609.037249096546
-42.625,-64.875,6,7.028611111111111,6088.852726539371
-46.875,-61.375,1,4.723750000000001,5350.17080902269
-46.375,-61.625,3,9.171111111111111,10438.823315127223
-48.125,-64.125,4,4.414722222222222,5609.412746384961
-46.875,-62.875,5,45.41847222222223,48710.41963405425
-41.875,-62.875,3,5.101388888888889,6479.319407848989
-44.375,-60.625,34,259.4888888888889,301607.3434314066
-44.125,-60.875,35,210.56430555555556,292743.08046501153
-47.125,-61.125,34,501.41263888888915,783927.0561132582
-44.875,-65.625,3,8.13986111111111,8892.147880412933
-51.625,-68.375,6,12.311666666666671,24099.461026938516
-36.625,-56.375,2,8.841805555555556,4966.823401217175
-38.625,-55.875,6,42.39597222222222,50545.60031186214
-44.375,-62.875,24,179.08833333333342,193959.69250941527
-47.875,-64.875,2,7.164444444444447,11687.695956354313
-47.875,-62.625,8,23.114583333333336,41212.70216340877
