lat_bin_center,lon_bin_center,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,fishing_days,fishing_hours,fishing_kwh
-41.375,-57.125,Argentina,ARG,unknown_fishing,trawlers,trawlers,1,1.3163888888888888,2368.145204872903
-45.875,-62.375,Argentina,ARG,unknown_fishing,trawlers,trawlers,7,81.08555555555557,118577.73226731113
-44.125,-63.625,Argentina,ARG,NA,fixed_gear,trawlers,9,63.62819444444444,74398.58417424517
-43.125,-62.875,Argentina,ARG,NA,fixed_gear,trawlers,1,4.767777777777777,5574.822913351845
-57.125,-59.375,Saint Helena,SHN,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-58.375,-65.875,Saint Helena,SHN,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-58.375,-65.375,Saint Helena,SHN,drifting_longlines,drifting_longlines,drifting_longlines,0,0,0
-43.875,-62.625,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-45.875,-63.625,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-43.625,-62.375,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
-46.375,-67.375,Argentina,ARG,unknown_fishing,fixed_gear,trawlers,8,21.363472222222224,16593.81441259947
-46.875,-65.625,Argentina,ARG,unknown_fishing,fixed_gear,trawlers,2,2.576944444444445,2001.60991705319
-37.125,-56.875,Argentina,ARG,unknown_fishing,fixed_gear,trawlers,0,0,0
-42.375,-62.875,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-52.875,-68.375,Argentina,ARG,NA,other_fishing,pole_and_line,0,0,0
-42.125,-62.375,Argentina,ARG,NA,other_fishing,pole_and_line,1,0.08597222222222221,144.08536547602637
-39.125,-57.125,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-38.125,-56.875,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-43.875,-62.875,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,0,0,0
-39.125,-56.375,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,2,1.5448611111111112,2233.8167039754444
-41.875,-58.625,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,2,6.706111111111113,9731.202946625644
-40.125,-56.875,Argentina,ARG,unknown_fishing,squid_jigger,squid_jigger,1,2.0501388888888887,2980.1504128131155
-48.375,-60.875,Spain,ESP,unknown_fishing,trawlers,trawlers,1,2.8374999999999995,3318.834588715125
-50.375,-58.125,Spain,ESP,unknown_fishing,trawlers,trawlers,1,1.882361111111111,2201.6723044961373
-50.125,-59.875,Spain,ESP,unknown_fishing,trawlers,trawlers,0,0,0
-48.125,-63.625,Argentina,ARG,unknown_fishing,drifting_longlines,drifting_longlines,0,0,0
