year,mmsi,on_fishing_list,on_fishing_list_nn,flag_country_name,flag_iso3,known_label,inferred_label_allyears,inferred_sublabel_allyears,length,tonnage,engine_power,days,hours,fishing_days,fishing_hours,fishing_kwh
2016,701023000,TRUE,TRUE,Argentina,ARG,NA,drifting_longlines,drifting_longlines,47.9094317006,601.855062909,1132.61091485,347,8304.852083333231,203,3606.619861111093,4084897.020409336
2014,701000680,TRUE,TRUE,Argentina,ARG,NA,squid_jigger,squid_jigger,51.971379751,674.248541559,1087.05385553,175,3903.268194444438,75,857.4658333333333,932111.5401102445
2015,701006042,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,56.4555825427,1247.23888514,1798.97082455,215,5080.761388888861,109,1555.4251388888863,2798164.4446327453
2015,701000642,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,43.096475568,750.854278273,1640.51083597,245,5814.82305555548,139,2493.312083333317,4090305.490163189
2015,416037500,FALSE,TRUE,Taiwan,TWN,NA,squid_jigger,squid_jigger,56.6000202807,805.47910172,1504.98001921,64,1512.9745833333109,38,293.93569444444296,442367.34707149805
2015,701000636,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,38.5645356911,519.696855509,914.759667145,211,4860.988611111117,46,830.1370833333332,759375.9220347209
2014,701000583,TRUE,TRUE,Argentina,ARG,unknown_fishing,trawlers,trawlers,30.9743034474,323.992352452,720.199357879,293,6430.322361111112,116,2236.6284722222226,1610818.3895083328
2016,701006151,TRUE,TRUE,Argentina,ARG,NA,trawlers,trawlers,57.0621529604,850.16597041,1283.78474474,92,1987.868194444448,27,574.3887500000003,737391.5148002803
2015,412329692,TRUE,TRUE,China,CHN,unknown,trawlers,trawlers,75.3316251164,1617,3514.50631671,25,78.80861111111113,20,67.48833333333336,237188.17380423006
2016,770576091,TRUE,TRUE,Uruguay,URY,unknown_fishing,trawlers,trawlers,29.8675080743,327.76710995,780.438606062,131,2504.7384722222264,94,1511.0193055555567,1179257.8005605484
2015,413404410,TRUE,TRUE,China,CHN,unknown,squid_jigger,squid_jigger,53.128968167,712,1215.54314613,24,485.70055555555524,1,5.59,6794.8861868667
