year,mmsi,fishing_hours_mpa_1,fishing_hours_mpa_2,fishing_hours_mpa_3,fishing_hours_mpa_4,fishing_hours_mpa_5,fishing_hours_mpa_6,fishing_hours_mpa_7,fishing_hours_mpa_8,fishing_hours_mpa_10,fishing_hours_mpa_11,fishing_hours_mpa_12,fishing_hours_mpa_13,fishing_hours_mpa_14
2015,701000666,0,0,0,0,0,0,0,0,322.72680555555553,536.6816666666667,350.5852777777778,0,0
2015,701000668,0,0,0,0,0,0,0,0,312.6976388888889,129.30541666666667,13.3,0,0
2015,701000672,0,0,0.7873611111111111,0,0,0,0,0,26.400555555555556,0,0,0,0
2015,701000673,0,0,26.360277777777778,0,0,0,0,0,0,0,0,0,0
2015,701000674,0,25.81875,203.73708333333335,0,0,0,0,0,0,0,0,0,0
2015,701000675,0,0,13.69972222222222,0,0,0,0,0,0,0,0,0,0
2015,701000677,0,0,36.10402777777778,0,0,0,0,0,0,0,0,0,0
2015,701000680,0,0,216.38361111111112,0,0,0,0,0,0,0,0,0,0
2015,701000681,0,6.325,119.25111111111111,0,0,0,0,0,0,0,0,0,0
2015,701000686,0,0,0,0,0,0,0,0,191.38736111111112,137.37597222222223,57.259861111111114,0,0
2015,701000687,0,0,0,0,0,0,0,0,256.83972222222224,169.0575,83.39013888888888,0,0
2015,701000696,0,0,0,0,0,0,0,0,344.8497222222222,103.82541666666667,8.939166666666667,0,0
2015,701000708,0,0,0,0,0,0,0,0,132.67388888888888,129.99055555555555,76.52152777777778,0,0
2015,701000713,0,53.80847222222222,55.97972222222222,121.08013888888888,188.43458333333334,21.66138888888889,10.087500000000002,1425.5233333333333,0,0,0,0,0
2015,701000717,0,0,273.0626388888889,3.5833333333333335,0,0,0,0,0,0,0,0,0
2015,701000720,0,0,0,0,0,0,0,0,176.21833333333333,162.00472222222223,89.23083333333334,0,0
2015,701000728,0,0,4.939444444444445,0,0,0,0,0,0,200.94916666666666,114.40347222222222,0,0
2015,701000729,0,0,0,0,0,0,0,0,285.12180555555557,12.843194444444444,2.6761111111111116,0,0
2015,701000732,0.8108333333333333,0.8108333333333333,708.9943055555556,20.745555555555555,0,0,0,0,0,0,0,0,0
2015,701000735,0,0,1149.787361111111,53.141527777777775,0,89.89125,0,0,0,0,0,0,0
2015,701000742,0,0,0,0,0,0,0,0,377.9951388888889,471.41555555555556,297.83666666666664,0,0
2015,701000745,0,0,0,0,0,0,0,0,151.99680555555557,37.52930555555555,14.716111111111111,0,0
2015,701000753,0,0,0,0,0,0,0,0,391.16375,64.4786111111111,46.71736111111111,0,0
2015,701000755,0,0,198.28430555555556,10.141388888888889,0,0,0,0,0,136.49930555555557,136.49930555555557,0,0
2015,701000756,14.307083333333333,14.307083333333333,402.335,7.179583333333333,0,0,0,0,0,122.4538888888889,122.4538888888889,0,0
2015,701000764,0,0,0,0,0,0,0,0,224.50208333333333,265.81805555555553,164.72347222222223,0,0
2015,701000765,0,0,348.7536111111111,6.435277777777778,0,0,0,0,0,100.86611111111111,100.09708333333333,0,0
2015,701000768,0,0,6.114722222222222,0,0,0,0,0,0,0,0,0,0
