year,mmsi,gear_type,total_hours,total_fishing_hours,fishing_hours_eez,fishing_hours_falkland,fishing_hours_hs
2015,701007022,trawlers,5950.035694444343,3300.5213888888693,3300.5213888888693,0,0
2016,701000962,squid_jigger,7045.40777777742,1792.2674999999954,1697.21083333333,95.05666666666662,0
2016,701000772,trawlers,8084.393749999423,1652.34569444444,1652.34569444444,0,0
2016,701006007,trawlers,7271.693611110851,2563.759444444433,2563.759444444433,0,0
2014,701000580,trawlers,2579.085555555555,622.017777777778,622.017777777778,0,0
2016,701000728,trawlers,7100.963888888912,3026.1733333333336,3014.0006944444444,0,0
2016,701000623,trawlers,2760.3525000000045,966.5699999999991,966.5699999999991,0,0
2014,701000537,trawlers,5073.48222222222,1951.2533333333315,1951.2533333333315,0,0
2014,701000852,squid_jigger,4299.818333333333,1163.9254166666665,908.75,255.17541666666665,0
2014,701000708,trawlers,5042.421666666657,2278.2744444444397,2278.2744444444397,0,0
2016,701094000,trawlers,8017.030277777283,1838.7951388888805,1838.7951388888805,0,0
2014,701000662,trawlers,4467.032499999996,2186.8343055555565,2186.8343055555565,0,0
2016,701023000,drifting_longlines,8308.739166666606,3610.506944444422,3287.221249999986,319.39861111111117,3.8870833333333334
2015,701000900,trawlers,2569.1074999999937,185.9743055555554,185.9743055555554,0,0
2015,701000673,trawlers,2919.7972222222115,702.5856944444447,702.5856944444447,0,0
2015,701006149,trawlers,5537.917222222131,997.742638888893,803.5400000000029,194.2026388888888,0
2016,701000771,trawlers,985.3002777777751,9.168055555555556,9.168055555555556,0,0
2015,701006119,trawlers,3257.0758333332915,369.13694444444377,332.0547222222209,37.082222222222214,0
2015,701000577,trawlers,8142.4697222222,3673.4259722222214,3671.809861111111,0,1.616111111111111
2015,701006044,trawlers,7254.635555555494,2355.4688888888895,2268.581944444445,81.01138888888886,5.875555555555556
2016,701000822,trawlers,5457.34194444444,677.6244444444445,677.6244444444445,0,0
2015,701006080,trawlers,7116.434444444444,2493.154583333333,2493.154583333333,0,0
2015,701000651,trawlers,6205.263333333192,1540.8983333333422,1540.8983333333422,0,0
2014,701000660,trawlers,5476.08333333329,2204.036111111114,2204.036111111114,0,0
2016,701078000,trawlers,1274.5383333333332,486.2508333333325,486.2508333333325,0,0
2014,701000867,trawlers,2923.991944444445,220.3175,207.7673611111111,12.550138888888888,0
2016,701037000,trawlers,8658.262777777627,3948.9256944444205,3787.2849999999794,161.6406944444445,0
2015,701078000,trawlers,4450.681111111079,2390.556944444416,2390.556944444416,0,0
2014,701000649,trawlers,6893.226388888901,2994.5766666666664,2994.5766666666664,0,0
2016,701066000,trawlers,5554.850555555522,3373.3622222222166,3373.3622222222166,0,0
2016,701000857,trawlers,6035.906249999913,1212.705138888889,1212.705138888889,0,0
2014,701006471,trawlers,4391.4419444444175,2620.914166666669,2620.914166666669,0,0
2014,701000550,trawlers,7038.474722222099,2055.2608333333387,2055.2608333333387,0,0
2016,701006182,trawlers,8674.578055554304,1641.0063888888787,1534.1319444444414,96.67069444444456,0
2016,701000663,trawlers,5592.9511111106885,1440.7497222222175,1440.7497222222175,0,0
2016,701000947,fixed_gear,6380.253611111064,3216.269444444445,3216.269444444445,0,0
2015,701000960,trawlers,5758.774444444407,2791.9040277777685,2791.9040277777685,0,0
2014,701000639,trawlers,7724.590277777598,3222.8644444444294,3222.8644444444294,0,0
2014,701000547,drifting_longlines,4690.079444444444,154.28444444444443,154.28444444444443,0,0
2014,701023000,drifting_longlines,8431.231111111105,4580.398194444449,4127.413611111112,452.98458333333326,0
2014,701006385,fixed_gear,6360.205555555561,2525.87125,2525.87125,0,0
